Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Баранник,Богуслав,Олександрович,Чоловіча,21.09.2006,Кінорежисер,місто Носівка,"проспект Пересипська 3-тя, буд. 188, Ржищів, 97572",660 95 98,deriazhnyiievhen@example.net
Василенко,Василь,Юрійович,Чоловіча,26.08.1942,Історик,село Липовець,"провулок Щукіна, буд. 12, Молодогвардійськ, 86726",532 39 66,iustynakadeniuk@example.org
Цибуленко,Федір,Олегович,Чоловіча,07.06.1942,Хореограф,хутір Южне,"провулок Деревообробний 3-й, буд. 95 кв. 1, Лутугине, 72571",046 127-12-41,lgerus@example.org
Деревʼянко,Стефан,Олександрович,Чоловіча,06.10.2006,Державний службовець,селище Київ,"парк Пестеля, буд. 4 кв. 84, Самбір, 02292",+380 (28) 585-16-64,kozakpylyp@example.net
Хмара,Варфоломій,Іванович,Чоловіча,25.11.1962,Водій,місто Бережани,"площа Докова, буд. 0 кв. 814, Тульчин, 51394",072 349-17-23,stepanandriichuk@example.net
Франчук,Болеслав,Вікторович,Чоловіча,27.11.1978,Співак,село Тиврів,"проспект Восьмого березня, буд. 3, Сєвєродонецьк, 44258",+380 38 959-91-64,amaliiazaika@example.com
Василенко,Сергій,Юрійович,Чоловіча,25.09.1974,Сантехнік,хутір Ірміно,"шосе Леваневського, буд. 293 кв. 73, Мала Виска, 74252",+380 (33) 818-58-48,vasylechkobohuslav@example.com
Теличенко,Трохим,Юрійович,Чоловіча,23.04.1942,Економіст,місто Київ,"шосе Станційна 2-га, буд. 106, Христинівка, 18711",+380 13 772 96 15,sviter@example.net
Шелест,Артем,Петрович,Чоловіча,24.01.1966,Гінеколог,селище Татарбунари,"сквер 19-та Лінія, буд. 269 кв. 036, Чоп, 62246",365 42 59,olehgoliash@example.com
Гриценко,Пармен,Юрійович,Чоловіча,16.05.1966,Штукатур,хутір Слов'янськ,"площа Матюшенка, буд. 64 кв. 719, Бурштин , 68195",+380 60 589 69 71,tchmil@example.net
Давимука,Хома,Олександрович,Чоловіча,25.11.1958,Кінорежисер,село Дружба ,"провулок Крижанівський, буд. 50, Ізяслав, 40469",+380 (50) 608-80-02,zmalyk@example.com
Худобʼяк,Спас,Іванович,Чоловіча,09.04.1947,Музичний редактор,селище Лохвиця,"парк Гена Іоганна, буд. 61 кв. 45, Моршин, 56541",+380 (95) 383-43-08,saliileonid@example.com
Ґерета,Устим,Олександрович,Чоловіча,26.02.1968,Державний службовець,селище Фастів,"проспект Іванова 1-й, буд. 0 кв. 9, Новоселиця, 71251",591 98 06,lukian14@example.com
Артеменко,Георгій,Іванович,Чоловіча,12.04.1958,Кушнір,хутір Тисмениця,"парк Ліверпульський, буд. 0 кв. 196, Алушта, 13007",611 60 40,artemkovpak@example.net
Теличенко,Панас,Іванович,Чоловіча,09.02.1993,Ді-джей,місто Старий Крим,"проспект 8-ма Суворовська, буд. 41, Бережани, 62187",537 87 39,qshchyrytsia@example.com
Кабаненко,Семен,Юрійович,Чоловіча,06.07.1996,Паблік рилейшнз,місто Балта,"сквер Лип Івана та Юрія, буд. 557 кв. 4, Сновськ, 10945",042 707-67-37,les87@example.net
Сомко,Олекса,Анатолійович,Чоловіча,03.12.1985,Сценарист,село Зборів,"набережна Миколаївський 1-й, буд. 99, Сколе, 70189",083 465-38-86,viterliliia@example.net
Артимишин,Устим,Олегович,Чоловіча,11.04.1974,Електрослюсар,місто Кам'янець-Подільський,"парк Восьмого Березня Лінія 5-та, буд. 20, Бердянськ, 80492",327 22 53,nazarenkoalevtyn@example.org
Адамчук,Валентин,Іванович,Чоловіча,27.06.1982,Промисловець,хутір Ватутіне,"провулок Тупиковий 2-й, буд. 760 кв. 40, Сніжне, 28058",+380 14 400-75-41,makar56@example.net
Самойленко,Йосип,Олегович,Чоловіча,22.05.1989,Гінеколог,місто Українка ,"провулок Лиманчик 2-й Лінія 11-та, буд. 01, Баранівка, 27871",+380 10 815-10-68,vdeineko@example.com
Фоменко,Хома,Анатолійович,Чоловіча,04.08.1945,Ґрунтознавець,селище Голубівка,"сквер Олександра Кутузакія, буд. 2, Бахчисарай, 80725",040 625-09-51,akulenkoalina@example.org
Талан,Варфоломій,Олександрович,Чоловіча,05.08.1997,Прокурор,місто Полонне,"вулиця Святослава Ріхтера, буд. 07 кв. 722, Острог, 93499",078 452 92 43,hmedvedenko@example.net
Шаповал,Тимофій,Іванович,Чоловіча,01.10.1941,Музикант,місто Добромиль,"проспект Кордонний, буд. 1, Херсон, 60353",+380 34 435 27 01,aderevianko@example.org
Верменич,Степан,Анатолійович,Чоловіча,25.08.1999,Письменник,хутір Сокаль,"провулок Латвійський узвіз, буд. 58, Миколаїв, 40861",+380 55 746-32-42,ostapchukkamilla@example.net
Данько,Опанас,Олександрович,Чоловіча,02.09.1980,Клавішник,місто Борислав,"сквер Уманська, буд. 50 кв. 7, Полонне, 33232",659 72 60,artem79@example.com
Шелест,Зиновій,Юрійович,Чоловіча,26.05.1938,Стиліст,село Переяслав,"проспект Бабеля, буд. 385, Ладижин, 05340",+380 45 222 20 87,tsarenkooryna@example.org
Гузенко,Пантелеймон,Іванович,Чоловіча,09.09.1976,Живописець,селище Зеленодольськ,"провулок Краснослобідський, буд. 6, Каховка, 84680",+380 21 477-76-14,vhres@example.org
Бездітко,Спас,Вікторович,Чоловіча,20.12.2002,Музичний редактор,селище Городок,"шосе Кісельова Ігоря, буд. 5 кв. 3, Вишневе , 23762",833-99-59,avhustyn90@example.net
Аврамчук,Лукʼян,Вікторович,Чоловіча,16.11.1982,Письменник,місто Зугрес,"площа Романтичний, буд. 526, Олександрівськ, 91450",045 489-94-18,vlasiukviacheslav@example.net
Вергун,Стефан,Олегович,Чоловіча,01.06.1970,Музичний редактор,село Остер ,"вулиця Терещенка Володимира, буд. 302, Гнівань, 37259",+380 95 327-83-63,myroslav72@example.net
Гавришкевич,Аарон,Іванович,Чоловіча,29.08.1965,Парфюмер,місто Умань,"шосе Прохоровська, буд. 9 кв. 2, Великі Мости, 36190",+380 02 899-17-31,zatulavladyslav@example.net
Атаманюк,Орест,Петрович,Чоловіча,01.02.1939,Шериф,селище Моршин,"шосе Абрикосовий, буд. 6 кв. 3, Судак , 33752",+380 (80) 061-40-87,trokhym28@example.com
Нестайко,Микита,Юрійович,Чоловіча,19.05.2002,Продюсер,село Трускавець,"провулок Тюльпанний, буд. 3 кв. 06, Новояворівськ, 22888",064 041 18 22,liudmyla03@example.net
Височан,Гліб,Олександрович,Чоловіча,09.06.1994,Громадський діяч,селище Новгород-Сіверський,"площа Західний 4-й, буд. 91, Світлодарськ, 72593",005 979-39-06,okseniiaprotsenko@example.net
Данькевич,Омелян,Юрійович,Чоловіча,30.03.1950,Біолог,село Глухів,"парк Академіка Глушка, буд. 84 кв. 785, Мала Виска, 83383",+380 83 706-52-13,hresmaksym@example.net
Гавриленко,Борис,Анатолійович,Чоловіча,08.02.1951,Музикант,село Погребище,"набережна Обсерваторний, буд. 40, Почаїв, 49542",+380 (87) 769-36-92,orysiababychenko@example.org
Гук,Венедикт,Вікторович,Чоловіча,10.07.1945,Інженер,хутір Новий Буг,"набережна Віцеадмірала Жукова, буд. 300 кв. 2, Чуднів, 64900",095 549-81-92,demydoberemko@example.org
Чміль,Артем,Петрович,Чоловіча,08.04.1976,Доцент,селище Полонне,"вулиця Туристська, буд. 54, Довжанськ, 62114",+380 46 932-57-75,milena40@example.com
Мірошниченко,Антон,Олегович,Чоловіча,23.02.1944,Різноробочий,селище П'ятихатки,"площа Карантинний узвіз, буд. 95 кв. 774, Слов'янськ, 51791",417-72-16,trokhym96@example.net
Оробець,Захар,Олегович,Чоловіча,29.11.1939,Ботанік,село Малин,"узвіз Соляний 2-й, буд. 40, Берислав, 82324",+380 (67) 078-96-71,anitadubyna@example.com
Даниленко,Ігор,Анатолійович,Чоловіча,26.02.1993,Ґрунтознавець,селище Теребовля,"площа Пантелеймонівська, буд. 5, Українка , 30067",646 68 76,wderehus@example.net
Щербак,Аркадій,Юрійович,Чоловіча,31.07.1984,Кінорежисер,село Зборів,"вулиця Князівський, буд. 81 кв. 1, Слов'янськ, 42100",+380 92 323-58-96,viktormoskal@example.com
Андрієнко,Петро,Олександрович,Чоловіча,31.01.2006,Графік,селище Баштанка,"сквер Басейний 1-й, буд. 41 кв. 8, Христинівка, 71075",073 543 24 17,haievskyitymofii@example.net
Щириця,Станіслав,Олександрович,Чоловіча,18.12.1993,Клоун,село Саки ,"узвіз Кибальчича, буд. 6, Зоринськ, 91989",019 362-78-45,aaron68@example.net
Верховинець,Стефан,Юрійович,Чоловіча,21.12.1956,Золотар,хутір Овруч,"парк Дальня, буд. 992, Привілля, 74497",442 37 75,gzasenko@example.com
Сич,Симон,Олексійович,Чоловіча,10.06.1971,Фермер,селище Енергодар,"площа Академіка Вільямса, буд. 751, Верхівцеве, 50173",041 032 95 49,ruslan48@example.com
Дурдинець,Арсен,Анатолійович,Чоловіча,18.07.1998,Машиніст,хутір Родинське,"проспект Казанська, буд. 6 кв. 5, Буринь, 41528",438 23 66,shapovalostap@example.org
Верес,Борис,Петрович,Чоловіча,23.06.1976,Підприємець,місто Щолкіне,"шосе Лютневий 2-й, буд. 027, Голубівка, 09075",330-36-61,ustymbandurka@example.com
Абраменко,Омелян,Іванович,Чоловіча,01.10.1995,Соціолог,місто Глобине,"узвіз Бернардацці, буд. 755 кв. 811, Хорол , 86174",+380 20 559-32-07,albinavoblyi@example.com
Яремчук,Ігнат,Юрійович,Чоловіча,06.04.2005,Кушнір,хутір Узин,"провулок Казанська, буд. 2 кв. 52, Пирятин, 07935",+380 69 407-28-54,amaliiamazur@example.net
Малишко,Захар,Юрійович,Чоловіча,19.05.2004,Доцент,село Дружба ,"набережна 12-та Суворовська, буд. 3 кв. 1, Новояворівськ, 15775",+380 14 262-21-69,ivan49@example.com
Шахрай,Григорій,Іванович,Чоловіча,12.06.1969,Професор,хутір Благовіщенське,"провулок Сурикова, буд. 692 кв. 55, Снігурівка, 82038",075 251-25-69,mykhailynaskopenko@example.net
Ващенко,Леон,Олексійович,Чоловіча,25.02.1971,Продюсер,хутір Саки ,"парк Авдєєва-Чорноморського, буд. 2 кв. 813, Новий Розділ, 68150",282 64 37,markozasiadko@example.net
Карпенко,Хома,Вікторович,Чоловіча,16.12.1960,Філолог,село Угнів,"шосе Студентський 2-й, буд. 021 кв. 27, Запоріжжя, 20865",+380 29 084 93 57,xshakhrai@example.com
Бабич,Ростислав,Іванович,Чоловіча,06.08.1942,Гицель,село Миронівка,"сквер Заводська 5-та, буд. 522, Миронівка, 85609",408 41 15,ivernydub@example.com
Лазаренко,Степан,Петрович,Чоловіча,24.01.1987,Інженер,місто Львів,"парк Житкова, буд. 69 кв. 8, Кальміуське, 73121",+380 (87) 656-01-17,vitalii41@example.org
Сиротенко,Болеслав,Іванович,Чоловіча,30.07.1941,Доцент,село Берегове,"проспект Садова 4-та, буд. 548 кв. 72, Алчевськ, 68767",845 66 56,xbabarychenko@example.net
Івасюк,Арсен,Юрійович,Чоловіча,08.12.1973,Слідчий,село Вознесенськ,"набережна Метрополітенівський, буд. 08, Виноградів, 31159",227 21 07,davyd44@example.org
Забара,Іван,Вікторович,Чоловіча,22.12.1972,Економіст,хутір Лозова ,"набережна Рівності 2-й, буд. 981, Снігурівка, 99154",+380 83 680 09 20,olena21@example.net
Засуха,Аврелій,Іванович,Чоловіча,26.08.1972,Дантист,місто Старобільськ,"узвіз Сухолиманна, буд. 413, Острог, 26733",040-83-42,iukhym04@example.org
Демʼянюк,Георгій,Олександрович,Чоловіча,03.07.1980,Громадський діяч,село Ужгород,"проспект Водний, буд. 867 кв. 363, Кропивницький, 06137",+380 18 113 24 54,sivanchenko@example.net
Ґерус,Андрій,Іванович,Чоловіча,01.02.1993,Футболіст,село Старий Крим,"провулок Привозна, буд. 7, Ватутіне, 08913",365-79-95,ostapbabiuk@example.com
Кириленко,Аарон,Петрович,Чоловіча,06.12.1964,Диригент,селище Рені,"вулиця Кавунова, буд. 292, Синельникове, 13115",+380 (14) 266-29-94,tiashchuk@example.org
Рубець,Стефан,Вікторович,Чоловіча,03.03.1955,Економіст,селище Алчевськ,"сквер Маріїнська, буд. 396, Дружківка, 81172",731-11-26,tetianakadeniuk@example.com
Дерегус,Симон,Олегович,Чоловіча,20.09.1989,Локсмайстер,хутір Березань ,"шосе 8-ма Суворовська, буд. 49 кв. 302, Мар'їнка, 64800",+380 61 618-01-78,nosachenkoalevtyn@example.com
Міщенко,Амвросій,Анатолійович,Чоловіча,18.01.1950,Штукатур,місто Зугрес,"площа Казковий, буд. 916 кв. 41, Перещепине, 26423",+380 72 232-75-67,azarlemeshko@example.net
Вітер,Спас,Юрійович,Чоловіча,12.03.1988,Педагог,місто Липовець,"набережна Скидановська, буд. 57, Боярка, 67922",+380 14 129 31 36,vasylashkobohdanna@example.com
Вдовиченко,Йосип,Петрович,Чоловіча,28.07.1996,Хімік,селище Тиврів,"узвіз Студентський, буд. 74 кв. 9, Горішні Плавні, 35517",030 198 52 32,zduplii@example.net
Гайдабура,Леонід,Анатолійович,Чоловіча,04.01.1980,Підприємець,місто Ялта,"площа Картамишевський, буд. 881 кв. 9, Бібрка, 12262",082 977-17-16,kamillapustovit@example.com
Закусило,Веніямин,Іванович,Чоловіча,23.12.1937,Стропальник,село Сколе,"проспект Мала, буд. 88 кв. 756, Виноградів, 86622",+380 (70) 422-23-58,svitlana72@example.net
Гаврюшенко,Климент,Юрійович,Чоловіча,04.03.1952,Намотувальник,хутір Радехів,"площа Амурська, буд. 77, Болград, 54928",060 250 46 46,hennadiiartymyshyn@example.org
Гречко,Федір,Юрійович,Чоловіча,21.01.1985,Юрист,хутір Гуляйполе,"площа Угорська, буд. 5 кв. 618, Умань, 18076",+380 65 880-50-85,dubasodarka@example.org
Гузенко,Богодар,Юрійович,Чоловіча,02.11.1994,Шериф,хутір Броди,"узвіз Леваневського, буд. 700, Комарно, 88219",+380 69 272 57 80,tfilipenko@example.org
Прокопович,Мирослав,Вікторович,Чоловіча,07.06.1997,Лікар,місто Коломия,"площа Яхненка Семена, буд. 409 кв. 34, Рівне, 26933",+380 22 163-56-07,uvasylashko@example.net
Чумаченко,Сергій,Іванович,Чоловіча,01.05.1993,М'ясник,село Чоп,"площа Першотравневий 3-й, буд. 3 кв. 2, Теребовля, 04177",+380 (10) 975-83-23,priskaieromenko@example.com
Червоненко,Прохір,Юрійович,Чоловіча,29.09.1983,Ювелір,місто Шаргород,"проспект Офіцерська, буд. 97 кв. 90, Кобеляки, 83061",298 71 47,prymachenkoruslan@example.org
Артюшенко,Соломон,Анатолійович,Чоловіча,08.09.1988,Стоматолог,село Первомайський ,"проспект Вчительська, буд. 7 кв. 14, Привілля, 88553",+380 81 418-81-09,iaroslavazarudnyi@example.org
Цушко,Богодар,Юрійович,Чоловіча,17.01.2008,Професор,місто Рахів,"шосе Мічуріна, буд. 0 кв. 22, Богуслав, 51492",+380 96 626-09-42,piaremenko@example.net
Гаврилів,Лукʼян,Юрійович,Чоловіча,10.07.1999,Швачка,село Бучач,"провулок Олександра Невського 4-й, буд. 9, Тараща, 19261",+380 93 721-40-43,cparasiuk@example.net
Шеремета,Трохим,Олегович,Чоловіча,29.03.1945,Кінолог,місто Ямпіль,"шосе Весела, буд. 99 кв. 55, Шепетівка, 86712",+380 (16) 292-14-38,spaspoltavets@example.com
Доценко,Онисим,Юрійович,Чоловіча,01.10.2004,Психолог,село Таврійськ,"парк Кондренка, буд. 614, Роздільна, 13067",+380 60 880 59 74,andriishynparmen@example.org
Давимука,Аврелій,Іванович,Чоловіча,30.08.1942,Музикознавець,село Івано-Франківськ,"узвіз Єлисаветградський, буд. 37, Кропивницький, 18481",004 420-28-60,ftovstukha@example.net
Іващенко,Данило,Вікторович,Чоловіча,16.02.2005,Кушнір,селище Кіцмань,"сквер 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 73, Рубіжне, 20674",070 096 17 59,ielysei21@example.com
Непорожній,Валерій,Петрович,Чоловіча,25.12.1944,Режисер,селище Нова Каховка,"узвіз Яблочкіної, буд. 52, Жовті Води, 31376",515 79 42,umanetsalbina@example.com
Бездітко,Веніямин,Олегович,Чоловіча,17.11.2007,Медик,хутір Вилкове,"вулиця Хаджибейський 1-й, буд. 7, Шаргород, 79571",+380 28 954-74-91,iaroslavadakhno@example.org
Даценко,Павло,Іванович,Чоловіча,22.10.1964,Стропальник,хутір Пологи ,"площа Гоголя, буд. 80, Благовіщенське, 34675",+380 60 360-51-26,ktsybulenko@example.org
Рябченко,Омелян,Іванович,Чоловіча,03.03.1958,Диригент,хутір Городенка,"шосе Скляний 1-й, буд. 19, Селидове, 80584",+380 (36) 388-21-04,oleksa68@example.org
Демʼянчук,Кирило,Вікторович,Чоловіча,11.09.2008,Електротехнік,село Хрустальний,"шосе Костанді, буд. 505, Звенигородка, 26051",+380 72 241 91 12,halyna61@example.net
Шведченко,Богодар,Олексійович,Чоловіча,16.03.1939,Провізор,хутір Лозова ,"провулок Лінія 31-ша, буд. 58 кв. 3, Теплодар, 02659",+380 43 320-92-74,spas54@example.net
Данченко,Павло,Олегович,Чоловіча,11.08.1977,Кур'єр,місто Красногорівка,"шосе Заводська, буд. 905 кв. 565, Немирів, 11924",+380 99 052-38-60,vernydubmykhailo@example.org
Ющенко,Вадим,Олегович,Чоловіча,16.11.1968,Гицель,село Самбір,"площа Лінія 55-та, буд. 45, Пустомити, 54653",010 656 10 31,heorhii34@example.net
Вергун,Йосип,Вікторович,Чоловіча,04.06.2004,Редактор,місто Верхньодніпровськ,"сквер Старорізнична, буд. 647, Косів, 04430",021 397 93 40,ievapetliura@example.com
Яременко,Теодор,Іванович,Чоловіча,20.08.1943,Музикознавець,хутір Українськ,"проспект Львівська, буд. 7 кв. 3, Зимогір'я, 55751",+380 54 112-04-34,klyment13@example.org
Хомик,Данило,Юрійович,Чоловіча,10.06.1940,Стоматолог,місто Підгайці,"провулок Восьмого березня узвіз, буд. 631 кв. 244, Ковель, 46811",095 883 04 21,kzarudnyi@example.org
Власюк,Йосип,Олексійович,Чоловіча,10.05.2001,Медик,місто Бахмач,"узвіз Четверта, буд. 42, Заставна, 75069",+380 43 078 95 29,xbairak@example.net
Ґалаґан,Максим,Юрійович,Чоловіча,29.12.2004,Інженер,хутір Джанкой,"сквер Лермонтовський, буд. 401, Полтава, 90944",079 625 85 97,onysym30@example.net
Годунок,Гліб,Іванович,Чоловіча,22.10.1978,Епідеміолог,хутір Комарно,"сквер Восьмого березня 4-й, буд. 1, Оріхів, 65575",029 523-51-53,rubanserhii@example.org
Козаченко,Лесь,Вікторович,Чоловіча,29.07.1939,Програміст,місто Червоносів,"сквер Уральський, буд. 392, Баштанка, 16095",896 95 82,fomenkokostiantyn@example.net
Устенко,Марко,Олегович,Чоловіча,15.02.1999,Кушнір,хутір Інкерман,"сквер 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 694, Решетилівка, 51696",028-21-24,qhres@example.org
Чуйко,Мартин,Іванович,Чоловіча,07.05.2003,Математик,місто Чигирин,"шосе Коцюбинського, буд. 106, Березань , 66427",+380 (14) 453-34-08,irenamamchur@example.net
Шморгун,Миколай,Олегович,Чоловіча,19.07.1941,Адвокат,місто Одеса,"вулиця Східчастий, буд. 78, Турка, 72480",415-03-98,solomon72@example.com
Чорновіл,Нестор,Анатолійович,Чоловіча,02.10.1967,Кур'єр,хутір Трускавець,"вулиця Рельєфна, буд. 4 кв. 95, Сулимівка (Слов'янськ), 12336",+380 05 818-93-52,omeliansirko@example.org
Симоненко,Григорій,Юрійович,Чоловіча,05.02.1980,Петрограф,хутір Маріуполь,"вулиця Матроська Слобідка, буд. 24 кв. 14, Рубіжне, 68805",+380 13 793-62-43,lkozachenko@example.org
Василашко,Мирослав,Вікторович,Чоловіча,10.01.1979,Парфюмер,хутір Кам'янка (Черкаська область),"шосе 14-та Суворовська, буд. 561, Українськ, 51548",111 28 65,fdavydenko@example.org
Чекалюк,Михайло,Олексійович,Чоловіча,14.01.1946,Фізик,селище Дубляни,"проспект Скворцова, буд. 3 кв. 94, Перемишляни, 20963",+380 42 269-29-92,liashkoliliia@example.net
Свириденко,Соломон,Олегович,Чоловіча,24.02.1969,Музикант,місто Южне,"проспект Лазурний 6-й, буд. 2, Вараш, 50623",+380 13 091-12-44,rubanvladyslav@example.org
Заєць,Лукʼян,Олексійович,Чоловіча,20.04.1988,Фольклорист,село Одеса,"шосе Кустанайська, буд. 1 кв. 3, Теплодар, 84258",+380 79 409 01 57,gzarudnyi@example.net
Гайдай,Борислав,Іванович,Чоловіча,01.10.1964,Бібліотекар,хутір Баштанка,"площа Балтський 3-й, буд. 9 кв. 0, Шахтарськ, 91257",+380 (55) 261-17-91,tychynamartyn@example.net
Єременко,Дан,Олегович,Чоловіча,28.04.1940,Музикознавець,місто Миргород,"шосе Гранатний, буд. 66, Бровари, 54236",+380 48 670 88 42,prokhir72@example.org
Артимишин,Франц,Анатолійович,Чоловіча,12.08.1962,Нотаріус,селище Рівне,"узвіз Прибережний, буд. 16 кв. 79, Звенигородка, 18806",+380 (40) 476-28-62,cherednykbohodar@example.net
Іващенко,Станіслав,Олександрович,Чоловіча,16.10.2000,Електрик,місто Федорівка,"набережна Гагаріна, буд. 2, Родинське, 61817",+380 66 269-66-55,somkoielysei@example.net
Верхола,Олекса,Олегович,Чоловіча,03.07.1999,Режисер,місто Бердичів,"вулиця Ніжинська, буд. 1 кв. 2, Самбір, 79654",077 559 55 49,jhavrylets@example.net
Мазур,Дмитро,Олексійович,Чоловіча,26.10.1982,Географ,хутір Дубровиця,"парк Верф’яний, буд. 26, Заводське, 06670",+380 (44) 062-84-68,mykhailo90@example.com
Ільченко,Леопольд,Вікторович,Чоловіча,30.07.1954,Редактор,місто Алупка,"площа ім. С.Ю. Вітте, буд. 479, Ужгород, 62224",953-97-37,lizahavriushenko@example.net
Заїка,Альберт,Юрійович,Чоловіча,11.12.1955,Секретар,місто Новомосковськ,"сквер Свободи, буд. 1, Єнакієве, 21099",+380 82 594-91-59,martynshvachko@example.net
Дацюк,Михайло,Іванович,Чоловіча,19.10.1981,Будник,село Тлумач,"сквер Байдарочний, буд. 827 кв. 784, Батурин, 02932",997 90 31,shvaikahryhorii@example.com
Михайлюк,Соломон,Анатолійович,Чоловіча,18.10.1950,Золотар,селище Покровськ,"площа Фруктовий, буд. 832, Решетилівка, 50106",+380 82 039 44 60,spas14@example.org
Андрейко,Богдан,Юрійович,Чоловіча,02.02.1997,Астрофізик,місто Рені,"провулок Безіменний, буд. 81 кв. 00, Рубіжне, 58413",+380 95 827 81 03,hskoryk@example.net
Гресь,Степан,Іванович,Чоловіча,11.08.1977,Водій,місто Канів,"сквер Ольгіївський узвіз, буд. 56, Надвірна, 63687",968 46 44,omeliandrobakha@example.net
Канівець,Олег,Іванович,Чоловіча,11.09.2002,Державний службовець,село Вознесенівка,"парк 8-ма Лінія Дачі Ковалевського, буд. 8, Славута, 72946",+380 (32) 043-42-15,cnazarenko@example.org
Пелех,Георгій,Олександрович,Чоловіча,21.09.1952,Водій,хутір Славута,"набережна Строганов міст, буд. 9 кв. 27, Армянськ, 75539",+380 82 197-68-05,iaremkoruslan@example.com
Адамчук,Юхим,Олегович,Чоловіча,23.06.1984,Електрик,місто Чорноморськ,"сквер Стєклова, буд. 4, Снятин, 10561",+380 (87) 636-14-07,nazarizhakevych@example.com
Бабʼюк,Михайло,Олегович,Чоловіча,08.05.1940,Професор,селище Коростень,"проспект Макова, буд. 80 кв. 20, Яготин, 72549",+380 49 089-02-43,zakharsemenchenko@example.net
Данько,Феофан,Олегович,Чоловіча,27.12.1990,Фермер,місто Соледар,"парк 1-ша Лінія Марії Демченко, буд. 084 кв. 8, Кодима, 80207",+380 54 631-73-02,romanshchyrytsia@example.com
Гаврюшенко,Теодор,Олегович,Чоловіча,20.09.1954,Антрополог,село Біла Церква,"провулок Анни Ахматової, буд. 44 кв. 444, Виноградів, 55633",+380 46 316 00 19,rubetsoleh@example.org
Комар,Юхим,Юрійович,Чоловіча,29.10.1960,Петрограф,хутір Берегове,"парк Анни Ахматової, буд. 7 кв. 9, Новодністровськ, 43690",+380 54 540-57-16,semen93@example.org
Вернигора,Валерій,Петрович,Чоловіча,20.07.1960,Диригент,місто Зимогір'я,"парк Нафтовиків, буд. 79, Жовква, 77938",+380 72 131-41-91,nestaikoihnat@example.org
Базилевич,Герман,Іванович,Чоловіча,05.07.1980,Інженер,місто Городенка,"вулиця Стражеска Миколи, буд. 8 кв. 5, Першотравенськ, 68013",967-85-73,iaremkotaras@example.org
Самойленко,Трохим,Олександрович,Чоловіча,06.12.1951,Продюсер,селище Кролевець,"парк Бориса Літвака, буд. 16 кв. 26, Жовква, 38973",789-16-39,iakivprotsenko@example.com
Носаченко,Венедикт,Олексійович,Чоловіча,13.04.1986,Фольклорист,селище Львів,"шосе Дорожня, буд. 2 кв. 807, Тиврів, 80705",486 94 17,huzenkoalina@example.net
Чуприна,Йосип,Юрійович,Чоловіча,18.12.1940,Лікар,хутір Пологи ,"узвіз Аеропортівський 3-й, буд. 00, Святогірськ, 24423",+380 05 181-36-01,tymchenkostanislav@example.net
Шинкаренко,Тимофій,Юрійович,Чоловіча,15.02.1958,Бухгалтер,село Переяслав,"узвіз Калинова, буд. 77 кв. 28, Кальміуське, 47816",189 89 17,oleksasliusar@example.org
Щербань,Мирон,Юрійович,Чоловіча,25.07.1967,Кінорежисер,хутір Феодосія,"вулиця Палія Семена, буд. 6 кв. 812, Підгайці, 81242",332-34-95,zynovii37@example.net
Засядько,Пармен,Олександрович,Чоловіча,19.02.1998,Локсмайстер,місто Коростень,"парк Дальницька, буд. 7, Сокиряни, 88772",041-43-84,hdeisun@example.com
Литвиненко,Ростислав,Олександрович,Чоловіча,01.06.1943,Літературознавець,селище Роздільна,"площа Миколи Плигуна, буд. 6, Новомиргород, 67061",293-11-74,ustymchalenko@example.com
Ґалаґан,Охрім,Юрійович,Чоловіча,08.05.1960,Гінеколог,село Кам'янка-Дніпровська,"шосе Миколи Бажана, буд. 5 кв. 558, Краматорськ, 94935",035 812 37 73,tymofii61@example.com
Височан,Опанас,Іванович,Чоловіча,05.06.2001,Випробувач,місто Сімферополь,"шосе Єліна, буд. 09 кв. 55, Міусинськ, 70542",386-50-80,markoivanchenko@example.org
Іщенко,Олександр,Олексійович,Чоловіча,29.10.1984,Математик,хутір Підгородне,"набережна Будівельна, буд. 9, Белз, 45180",083 538-85-72,iurchukpanteleimon@example.com
Байдак,Святослав,Олександрович,Чоловіча,26.02.2000,Кінокритик,село Харцизьк,"площа Панаса Мирного, буд. 5 кв. 260, Горохів, 46519",086 523-42-97,ibairak@example.net
Комар,Ростислав,Іванович,Чоловіча,24.05.1958,Ріелтор,хутір Сватове,"провулок Шишкіна, буд. 018, Берестечко, 50292",+380 (78) 752-47-54,rostyslavshelest@example.org
Василевич,Тимофій,Петрович,Чоловіча,29.01.1982,Лікар,місто Чоп,"проспект Сьома, буд. 66, Керч, 67533",+380 25 256-93-24,dzasukha@example.net
Валенко,Орест,Олександрович,Чоловіча,16.11.1973,Дантист,місто Новояворівськ,"узвіз Рівний, буд. 8 кв. 73, Соледар, 33184",+380 (24) 026-15-88,epetrenko@example.org
Литвин,Орест,Юрійович,Чоловіча,04.12.1991,Електромонтажник,село Глухів,"узвіз Абрикосова, буд. 13, Торецьк, 88704",739-56-90,ishchenkoiustym@example.com
Каденюк,Лукʼян,Олегович,Чоловіча,04.06.1940,Секретар,хутір Білогірськ,"проспект Лютневий 1-й, буд. 2, Горохів, 67663",154-46-89,irenatymchenko@example.com
